series,ts,value,max,twd,gro_yr
92222171,2022-03-12T18:00:00Z,0,0,0,0
92222171,2022-03-12T18:15:00Z,0,0,0,0
92222171,2022-03-12T18:30:00Z,0,0,0,0
92222171,2022-03-12T18:45:00Z,0,0,0,0
92222171,2022-03-12T19:00:00Z,0,0,0,0
92222171,2022-03-12T19:15:00Z,0,0,0,0
92222171,2022-03-12T19:30:00Z,0,0,0,0
92222171,2022-03-12T19:45:00Z,0,0,0,0
92222171,2022-03-12T20:00:00Z,-1,0,1,0
92222171,2022-03-12T20:15:00Z,-1,0,1,0
92222171,2022-03-12T20:30:00Z,-1,0,1,0
92222171,2022-03-12T20:45:00Z,-1,0,1,0
92222171,2022-03-12T21:00:00Z,-1,0,1,0
92222171,2022-03-12T21:15:00Z,-1,0,1,0
92222171,2022-03-12T21:30:00Z,-1,0,1,0
92222171,2022-03-12T21:45:00Z,-1,0,1,0
92222171,2022-03-12T22:00:00Z,-1,0,1,0
92222171,2022-03-12T22:15:00Z,-1,0,1,0
92222171,2022-03-12T22:30:00Z,-1,0,1,0
92222171,2022-03-12T22:45:00Z,-1,0,1,0
92222171,2022-03-12T23:00:00Z,-1,0,1,0
92222171,2022-03-12T23:15:00Z,-1,0,1,0
92222171,2022-03-12T23:30:00Z,-1,0,1,0
92222171,2022-03-12T23:45:00Z,-1,0,1,0
92222171,2022-03-13T00:00:00Z,-1,0,1,0
92222171,2022-03-13T00:15:00Z,-1,0,1,0
92222171,2022-03-13T00:30:00Z,-1,0,1,0
92222171,2022-03-13T00:45:00Z,-1,0,1,0
92222171,2022-03-13T01:00:00Z,-1,0,1,0
92222171,2022-03-13T01:15:00Z,-1,0,1,0
92222171,2022-03-13T01:30:00Z,-1,0,1,0
92222171,2022-03-13T01:45:00Z,-1,0,1,0
92222171,2022-03-13T02:00:00Z,-1,0,1,0
92222171,2022-03-13T02:15:00Z,-1,0,1,0
92222171,2022-03-13T02:30:00Z,-1,0,1,0
92222171,2022-03-13T02:45:00Z,-1,0,1,0
92222171,2022-03-13T03:00:00Z,-1,0,1,0
92222171,2022-03-13T03:15:00Z,-1,0,1,0
92222171,2022-03-13T03:30:00Z,-1,0,1,0
92222171,2022-03-13T03:45:00Z,-1,0,1,0
92222171,2022-03-13T04:00:00Z,-1,0,1,0
92222171,2022-03-13T04:15:00Z,-1,0,1,0
92222171,2022-03-13T04:30:00Z,-8,0,8,0
92222171,2022-03-13T04:45:00Z,-9,0,9,0
92222171,2022-03-13T05:00:00Z,-9,0,9,0
92222171,2022-03-13T05:15:00Z,-9,0,9,0
92222171,2022-03-13T05:30:00Z,-9,0,9,0
92222171,2022-03-13T05:45:00Z,-9,0,9,0
92222171,2022-03-13T06:00:00Z,-9,0,9,0
92222171,2022-03-13T06:15:00Z,-9,0,9,0
92222171,2022-03-13T06:30:00Z,-9,0,9,0
92222171,2022-03-13T06:45:00Z,-9,0,9,0
92222171,2022-03-13T07:00:00Z,-9,0,9,0
92222171,2022-03-13T07:15:00Z,-9,0,9,0
92222171,2022-03-13T07:30:00Z,-9,0,9,0
92222171,2022-03-13T07:45:00Z,-9,0,9,0
92222171,2022-03-13T08:00:00Z,-9,0,9,0
92222171,2022-03-13T08:15:00Z,-9,0,9,0
92222171,2022-03-13T08:30:00Z,-9,0,9,0
92222171,2022-03-13T08:45:00Z,-9,0,9,0
92222171,2022-03-13T09:00:00Z,-9,0,9,0
92222171,2022-03-13T09:15:00Z,-10,0,10,0
92222171,2022-03-13T09:30:00Z,-10,0,10,0
92222171,2022-03-13T09:45:00Z,-10,0,10,0
92222171,2022-03-13T10:00:00Z,-10,0,10,0
92222171,2022-03-13T10:15:00Z,-10,0,10,0
92222171,2022-03-13T10:30:00Z,-11,0,11,0
92222171,2022-03-13T10:45:00Z,-11,0,11,0
92222171,2022-03-13T11:00:00Z,-11,0,11,0
92222171,2022-03-13T11:15:00Z,-11,0,11,0
92222171,2022-03-13T11:30:00Z,-11,0,11,0
92222171,2022-03-13T11:45:00Z,-11,0,11,0
92222171,2022-03-13T12:00:00Z,-11,0,11,0
92222171,2022-03-13T12:15:00Z,-11,0,11,0
92222171,2022-03-13T12:30:00Z,-11,0,11,0
92222171,2022-03-13T12:45:00Z,-11,0,11,0
92222171,2022-03-13T13:00:00Z,-11,0,11,0
92222171,2022-03-13T13:15:00Z,-11,0,11,0
92222171,2022-03-13T13:30:00Z,-11,0,11,0
92222171,2022-03-13T13:45:00Z,-12,0,12,0
92222171,2022-03-13T14:00:00Z,-12,0,12,0
92222171,2022-03-13T14:15:00Z,-12,0,12,0
92222171,2022-03-13T14:30:00Z,-12,0,12,0
92222171,2022-03-13T14:45:00Z,-12,0,12,0
92222171,2022-03-13T15:00:00Z,-12,0,12,0
92222171,2022-03-13T15:15:00Z,-12,0,12,0
92222171,2022-03-13T15:30:00Z,-12,0,12,0
92222171,2022-03-13T15:45:00Z,-12,0,12,0
92222171,2022-03-13T16:00:00Z,-12,0,12,0
92222171,2022-03-13T16:15:00Z,-13,0,13,0
92222171,2022-03-13T16:30:00Z,-15,0,15,0
92222171,2022-03-13T16:45:00Z,-15,0,15,0
92222171,2022-03-13T17:00:00Z,-16,0,16,0
92222171,2022-03-13T17:15:00Z,-16,0,16,0
92222171,2022-03-13T17:30:00Z,-17,0,17,0
92222171,2022-03-13T17:45:00Z,-17,0,17,0
92222171,2022-03-13T18:00:00Z,-18,0,18,0
92222171,2022-03-13T18:15:00Z,-18,0,18,0
92222171,2022-03-13T18:30:00Z,-17,0,17,0
92222171,2022-03-13T18:45:00Z,-18,0,18,0
92222171,2022-03-13T19:00:00Z,-18,0,18,0
92222171,2022-03-13T19:15:00Z,-18,0,18,0
92222171,2022-03-13T19:30:00Z,-18,0,18,0
92222171,2022-03-13T19:45:00Z,-18,0,18,0
92222171,2022-03-13T20:00:00Z,-18,0,18,0
92222171,2022-03-13T20:15:00Z,-19,0,19,0
92222171,2022-03-13T20:30:00Z,-19,0,19,0
92222171,2022-03-13T20:45:00Z,-19,0,19,0
92222171,2022-03-13T21:00:00Z,-19,0,19,0
92222171,2022-03-13T21:15:00Z,-18,0,18,0
92222171,2022-03-13T21:30:00Z,-19,0,19,0
