series,ts,value,max,twd,gro_yr
92223484,2023-03-26T08:00:00Z,0,0,0,0
92223484,2023-03-26T08:15:00Z,0,0,0,0
92223484,2023-03-26T08:30:00Z,0,0,0,0
92223484,2023-03-26T08:45:00Z,0,0,0,0
92223484,2023-03-26T09:00:00Z,0,0,0,0
92223484,2023-03-26T09:15:00Z,0,0,0,0
92223484,2023-03-26T09:30:00Z,0,0,0,0
92223484,2023-03-26T09:45:00Z,0,0,0,0
92223484,2023-03-26T10:00:00Z,0,0,0,0
92223484,2023-03-26T10:15:00Z,0,0,0,0
92223484,2023-03-26T10:30:00Z,-1,0,1,0
92223484,2023-03-26T10:45:00Z,0,0,0,0
92223484,2023-03-26T11:00:00Z,-1,0,1,0
92223484,2023-03-26T11:15:00Z,-1,0,1,0
92223484,2023-03-26T11:30:00Z,-1,0,1,0
92223484,2023-03-26T11:45:00Z,-1,0,1,0
92223484,2023-03-26T12:00:00Z,-1,0,1,0
92223484,2023-03-26T12:15:00Z,-1,0,1,0
92223484,2023-03-26T12:30:00Z,-1,0,1,0
92223484,2023-03-26T12:45:00Z,-1,0,1,0
92223484,2023-03-26T13:00:00Z,-1,0,1,0
92223484,2023-03-26T13:15:00Z,-1,0,1,0
92223484,2023-03-26T13:30:00Z,-1,0,1,0
92223484,2023-03-26T13:45:00Z,-1,0,1,0
92223484,2023-03-26T14:00:00Z,-1,0,1,0
92223484,2023-03-26T14:15:00Z,-1,0,1,0
92223484,2023-03-26T14:30:00Z,-2,0,2,0
92223484,2023-03-26T14:45:00Z,-1,0,1,0
92223484,2023-03-26T15:00:00Z,-1,0,1,0
92223484,2023-03-26T15:15:00Z,-2,0,2,0
92223484,2023-03-26T15:30:00Z,-2,0,2,0
92223484,2023-03-26T15:45:00Z,-2,0,2,0
92223484,2023-03-26T16:00:00Z,-2,0,2,0
92223484,2023-03-26T16:15:00Z,-2,0,2,0
92223484,2023-03-26T16:30:00Z,-2,0,2,0
92223484,2023-03-26T16:45:00Z,-2,0,2,0
92223484,2023-03-26T17:00:00Z,-2,0,2,0
92223484,2023-03-26T17:15:00Z,-2,0,2,0
92223484,2023-03-26T17:30:00Z,-2,0,2,0
92223484,2023-03-26T17:45:00Z,-2,0,2,0
92223484,2023-03-26T18:00:00Z,-2,0,2,0
92223484,2023-03-26T18:15:00Z,-2,0,2,0
92223484,2023-03-26T18:30:00Z,-2,0,2,0
92223484,2023-03-26T18:45:00Z,-2,0,2,0
92223484,2023-03-26T19:00:00Z,-2,0,2,0
92223484,2023-03-26T19:15:00Z,-2,0,2,0
92223484,2023-03-26T19:30:00Z,-2,0,2,0
92223484,2023-03-26T19:45:00Z,-2,0,2,0
92223484,2023-03-26T20:00:00Z,-2,0,2,0
92223484,2023-03-26T20:15:00Z,-2,0,2,0
92223484,2023-03-26T20:30:00Z,-2,0,2,0
92223484,2023-03-26T20:45:00Z,-2,0,2,0
92223484,2023-03-26T21:00:00Z,-2,0,2,0
92223484,2023-03-26T21:15:00Z,-2,0,2,0
92223484,2023-03-26T21:30:00Z,-2,0,2,0
92223484,2023-03-26T21:45:00Z,-2,0,2,0
92223484,2023-03-26T22:00:00Z,-2,0,2,0
92223484,2023-03-26T22:15:00Z,-2,0,2,0
92223484,2023-03-26T22:30:00Z,-2,0,2,0
92223484,2023-03-26T22:45:00Z,-2,0,2,0
92223484,2023-03-26T23:00:00Z,-2,0,2,0
92223484,2023-03-26T23:15:00Z,-2,0,2,0
92223484,2023-03-26T23:30:00Z,-2,0,2,0
92223484,2023-03-26T23:45:00Z,-2,0,2,0
92223484,2023-03-27T00:00:00Z,-2,0,2,0
92223484,2023-03-27T00:15:00Z,-2,0,2,0
92223484,2023-03-27T00:30:00Z,-2,0,2,0
92223484,2023-03-27T00:45:00Z,-2,0,2,0
92223484,2023-03-27T01:00:00Z,-2,0,2,0
92223484,2023-03-27T01:15:00Z,-2,0,2,0
92223484,2023-03-27T01:30:00Z,-2,0,2,0
92223484,2023-03-27T01:45:00Z,-2,0,2,0
92223484,2023-03-27T02:00:00Z,-2,0,2,0
92223484,2023-03-27T02:15:00Z,-2,0,2,0
92223484,2023-03-27T02:30:00Z,-2,0,2,0
92223484,2023-03-27T02:45:00Z,-2,0,2,0
92223484,2023-03-27T03:00:00Z,-2,0,2,0
92223484,2023-03-27T03:15:00Z,-2,0,2,0
92223484,2023-03-27T03:30:00Z,-2,0,2,0
92223484,2023-03-27T03:45:00Z,-2,0,2,0
